,Summoner ID
65,U7_4U6NS4faUMGrjLL6uJ4UnMUzUcV2qOslAigvp89e_G0Xn
66,zkoRKCUgvFanY4ft6Bd_IoaxQQ2IvLBRBXH_tTAvthYISAUb
67,-uOzO2z3F4tx0F3gLtXQuNuYUkFV1Q8yS-4OsqAi9_F8_Tw2
68,MelWFcPrWTIRY0pvR76nOOrtxHrFI6vxYJ-mvg95YWbTdKKE
69,gzwQmFvaw2goVMCKasbnB5Ped6KX8b8bmHMrrPHsBKNsZ6s1
70,UN1V-ZZnKi_oPeDiP3mycvC-QHa4ciZHW0WjDznip-sQLi_g
71,cjNpRbQFsegHegEouxoTJKiLeazvvL4Ce_n-He111BkWAwX_
72,F1RqeKvZt5h9xND41uj3bCzVa0uiLokp931nxXs6bZmgvanW
73,_1uKMpL2ThFEUKCz6qKyR2sTnEIOV8DKtuSdux_R_3RIole8
74,s2OQ4JAg1XqIAAtgKCKAfG6HNkptMadlynGKPfR23MtHhBmL
75,EE-gKZP9qAq0OzGtsevVKa5Pda7y5a0WmgpzLjkPAkT7L9Sd
76,TZo1qNb0WzV2oTpNuFjUP95FoO838tBaw80K4CMkUuj8p4mL
77,AnbkvaEsLhAb_yKB5NBVyf4xeTp-TsCYri4TGmE5tgfhuye7
78,skdeY2T7Twkgv4nm8mh02odImcWPV8H-beZMbwbf6GwEgGkS
79,4rijdrcOSH9fiTQc6HoGSiJpo6x_2plAu19vVzuM6QpWWcoN
80,_nT-nzzfgzNuFXFXEXAnk2jRZW2VXb6f56kmg-lHTTaTtBev
81,XwzlvIEWDP6mbx4GJj9YNZI9I2TtOS_zVSbu0FtRRfEGf2JD
82,LrtKYqB-k0s6pwKNDXzCNC1sLEIonZrgYOnN-x6zOds1Qr0v
83,itLTqskhOkUxgLarsdBYBWyYZbIg2F_UAhN9CJ3bJl89uCGe
84,hOP8ehPrclGHiyCJYSJkxYZe3r0zmstyucOlkpYctbUqJW0F
85,mrhtlUL5ZG5JVK84exeoK5S0PmmpiUoc7IlVCpOc_orEzwKo
86,mucAZ-nIYZdiyQzjkYMwkH4SKEQPU-wHo4iS4AMdaKE0p6S6
87,pfxz67pnhzRsDT-8It4vcco-lZuN5p3_8a69me2GXZ3p78kL
88,5VJAYKhpbrj-7D1VGd_7Xvyx-nQy_j_8XXrmWd4TX3B5pwCm
89,gnHHIPs3Owb1bmxSwGfgPBuNJso4shZ9QR5sp7jvsAb4a4s8
90,HP9OIf7XRj1wlaxLK95-njIWcah50GyuSsQjSadwW4q2zT4T
91,LFQvVVsGNj_KiaAbg_6YX_xLFcWXQxKjOrh_U1yySzua4x3H
92,qg4zCPuHZHAmPIz3kys8mLevAFaPRySiAe4SH57qWpqkUX8b
93,7MLnt0US02SiQYm8M9kyStHipxpx0i4QZNAcr-EQdilU_8X3
94,XUHaEODtKlhhwixr_ICVwz4QFnfxxwpa6eKFE38VKM1sBqFQ
95,9dsKP4UZKsgbW6jzFKfSy7WEvVjI4F6LAoqUurOs93ZxpDMe
96,UK8W7cnAyUlL1ixqgfFPYv2V4i_uBP5ztwvzqic8kiMtm9Mj
97,Q2Yt_mGOaW-worW3dxdenU0Ul5FU-FEhohczVR-Rm959kEB6
98,MTHenPkk2NDZ7Pd0nrU0iECka5SPCIVpeni4UUExOXrXnSFD
99,G34Y1CCv4PfWOBgVOevnQF0xJY62VygXujypJoWW1F3NzZ_7
100,1knAVl8y47arHs8bX9bhI829ZaX0_LAyz03kJjR5BVXue3rp
101,ccVKOWyZ3TBAgs1-Uf4URce1qRtG2_u02s02223mNdLjqIqz
102,ySCy5HOLIHDWwQN0ItBDYrWsaIFbfslwgKe4ycZRVPv2GMtL
103,jQk7-TwbMvmAdoTiPMT4OarT55lak1DVSTDfJvjS5NExLT1y
104,e2MO2euAaUqBARB3ajTtsDXqeRmSRAkQ22E1K3uO6QoljJ71
105,HxRwWmhYWkmOwhPF6tNUvZQpRV8iATBdJCqe-rMdhXR7x2FM
106,FyeY3_UYGipRW_Y0GJWoPWEOPndra0b08yhyvlltm-MDH1UV
107,UhiK1A7vk9U0Q7vSw9L_d5HAM-HwVewzsOUeye69ZRU_0AHm
108,FF3OYB1u7eeJmFVZkWUAniAsPhBC3Tgnzu5D_mJr0uPrgYqT
109,ruBZZIwzC-YUmyPXlQ8NFjvGte2wI_1DrxSmGBses8bwz2Zd
110,BvN91ZucOgvkuMTyEkl5JlZ0005R7lEa8dd_1GvkInOQPgLG
111,n109FoPKUY6dkb47ic6urVcD6CxLL09eH77eJQPIxEKZ-lng
112,sjRgyEmd-z7x_gKcdwjJGg6e_ox03VDnTpmgl6tvS0fT3UqC
113,jp7IpWM-BSWNiVomN4NQ6iMU9MDM5L6jH76bjhmJZO4R8CqX
114,Bvh8q7pK7l34zM16Qb6umwyrVVwja8hd-6hdG-JHJxAk70dL
115,hQx9HuKE-rwSSaTpU_pnVhcfEuGhNCYiOs8NyiKCmW3yRu8K
116,EepNf8syKxfHOJDCNfQnpbo524GLmGFSosTmgUfu1ShC2o5f
117,mVP5gikI4pIcLdm_OiB54VQ5vYfTtCwZKCzYRmXRdyGTDhe4
118,lhq9bvwr5atO7CZ_nsugo2xqwRqj_tGC69p3u50BXaTLfeH9
119,OTvb8QDF4NsI7fyP5KHlty0-hd7bfau-y6QD4HvrLQIq7pjT
120,zAZjFfFy-QBMpg4F9vXbDw0HESeJnDwZu_nANhoYPN1nij7n
121,Xh2UeH96sRR6bi7OWzBOESp6tHHgefvpj-ppWjIMFSGeS_Gj
122,quhtP3Cjj-NvU2KmXduH1Bv7JVGJ5Z5fdJgwC9kBpffac-nY
123,xYTRCsLycWURe5R1yXIf0uIzgr3sab8C_6bwhFJrQFq0f1Va
124,WY3jrHDLqQkz7FF-orOs1c5d_Kq2Z3AwQjp2JkKbyng0Lqtd
125,VeDvI0GnHdzYaBzAZ94NDdfumJ2tcE_eewlT8xXLb8bw7r09
126,5VsgcZEk2ft6yVa3cl1MiPL_d3Iuwp0gxrNKzru4752YmYqD
127,A0jn9MkQ0OsNCl-983soArS56gcyn9LMOvGUTCDh0v93D5mG
128,wdrJrlrn4TDtzCAkLR8VVZeacKIJo08m3ATuAIYdSJ2n67DA
129,B3lbToR1bvFHUNKhD1pmif98mUv3B-hQ_I5XWHJTYW_m9mOi
130,BzYOx0HV-ng7N7MOF6O2cvzkfYoJKOvw_hdFGNxkDt68cx0-
131,1OCJ-akWafKc90N2qc7-PZeDNk0eBB4sEuenC5TmhAzriZSI
132,JBMCrlZwJpN8Gwj_rS-LG3RF66fY4XjVSIKw9X7vjFbMTiTQ
133,vRC-Lgx-zM61YXWEmjp2tFNED9D8kI-NnyybahQmLHy3Seii
134,0YuLQdmtcKfBlLZTmxZhTtLZ1ULGZ8bmIR7Dfrku58m2Q9Lo
135,a9K-MwjyH6dxOq73BZ-xIemLK7xjPMhzuYbxLxVt4-lpmVVZ
136,ZvMX-AGi4DouCVNj6ORnrRsVYaMxNYNox_Dq0bwxuiu3T_xO
137,xkFe0CrLEl0NuZgbhobbY_WssZOqnoXrSh8d-xSsuZ0rWypH
138,eXqwNfG57yW3MXHa2OnIjo-TWOvzgDAIUwhIQUekFkYLvCGD
139,zDbP7-8PRkSySI9R6qK5SCmmKEPCVqOA9Wf8rjm8B6YRgqW3
140,pAxNkq_SMudR43TSQjIXPYmWP-QdWJhwjLpJdL_KAoBM_sRM
141,5DL8xFHG4n-MCM2S4R8tCFs8GfZjwZ6gr6AzgFv5iWChkusW
142,UjQi-7jwZSR1q1VZAQ-t6GJy6Nh9U_NZOiFmZA2JVGeEgPi2
143,5dxtI3pAkfoIJd9AomDkbSD5IdslvWXdyD1MI7rcobvKY64p
144,claCZiPTMtOdYgPFC5FI22Ce5RfeKCcg736dDSooS3oewKJ5
145,whDCSrVJkMh75GjXhhnd2HW7e3WvKqAM6noPsyvVzm2qaIEQ
146,qQqtgnO_3SY9Y7KfCgFv_jMpcGDCu10nn7BDZBV1Dh4yAjrL
147,z2NL42QZJpn2j4zl-w0yiNh-NWfZh-lP_yYjSMz5ncwcl2vU
148,5__Dq_JSAeWefvcRKKnnfG_T5uwpPh7MjuoZqrh9NpDsd23C
149,qux_3iIprOKU_78OkvP4gyX5oxHLUa9W2WCqThwH7afzIUCH
150,-TLDODQnhcomu834eJWgZVizcORbolp3ptl36Ft3eo_4BDl4
151,XQMmcmoo4Elw39SnKmNL79rrildlvcNJm1CGCjUVx-qkL1SO
152,sH4QzSaVvzyqNxJb1CtqQI4viuYWoO9JxzxcE5mKPpjRaZdd
153,O6Ek3ZiUuMP0tbuFA6P3dkDOYJOUS6AR6QIsxGBP_uBpMKGw
154,BC8o7skljJNa4bpZOj8CMVFpCiU4Ez798DGP4EY_vEmvwppI
155,UoWYVR8EFgb_K8R7IgVEwJ9yTGx4rLrF1JhAgeyNcEC5G4m1
156,yEZJKHrzo3xBhdgaQlB3jCyQswul_2FsM02xiHzyjOcE2PHp
157,s-ZiJdPm6yrBFBkq1a8mdWqAcI3xxjegR-fgCCxdhyBT9_1M
158,lR7Q6qYTHyCI_hHmLWwmItY8Opmr1m6MePB8u9poidwn4fRY
159,Aaa3Uc5fuX8P9hAXkfgJyIRTiJUMf7Us-_8P5q2TVYWSqxG8
160,ExvKjrF796s99UD-gYB_z7ldYWagSh385OVLTuHWhGb9wnZj
161,g-Vh14peaVkxtazfpwljCNr8UG6QmCHm6ic2CZcTlEIy2iuF
162,3duHNrnqYJm-JDOT9S0c4--YBd3UIUk5OMIfFAFG0u_FEnWO
163,e17hYmyTRCARx_BLm_FReTd0ZiCf22yKJtWeUbNLZbOJLmU6
164,sSebywajjuS6c7Jbattk2_dEKBfY_iUKFx0hFvhHt4LdTk6M
165,5I_nKroDaons4p83mxryOR77I_cBWxtXwNKyFbgxrIzA_1zK
166,gdU2tD2S2OmR061mXp-DB5nUVvB3VC8X02WoHmaMr7_AR73d
167,nM1TfFLAdme19SHZKSVi76n_95ZOquYI8Z9_9DUa9PwBXW8G
168,15CngY1234BuVR_hwO6XKKF7WVrX3B4y4DX0Mq79BfwbvaHN
169,iOi-gkPfPgdFXlTxmGZ7KiPI_pMRGc4dVjjmSxUfPKHN-obp
170,op3_h23rBHI82vZa0ZC44siv0Y8gRqpfWBrUPk-Ty9ZmF5Oj
171,a2_7BSIXbRZkfyriQ8wGH6b5FA3v2MJab-jfriByetjHQCAj
172,3yCVXXfphmkz9JMFAMjbLVoPCfrM250syof6jgjnLxheWSfu
173,s4gTEIeeALPR4NkIeZCj-KSkkwXwQbmGQ2Zw6xBoVOQLoyeu
174,ekhurzydMQ8mGOLkkck0Dled60X3-cJGJmdsrC8NCuLqDLTt
175,nvPQVISf98uG-1RFH6opnW_1K19iW7OmV3a20mtGzxEfp3YD
176,xehiMKYxYlL55mrRhZJxJu_VAZBYUSZ7GN-85_gV5I-5wGH1
177,MTTdQhW8V01gKdjQ7ua_rpWqKF2bgamzAy1qQKjQoJdsA-KV
178,boXUVlbBLj136rzbFkbMgLZxHbC5Lh9vFTCyw9qOAACsss4p
179,FxUsJnU4CXYQe7p8bhk32F1xT13KUw8KmGxcgrB_AEdlcjez
180,M5Xu8aPl5MZZbl5xEb15poZiyLqjlWmBuuv24T3W84R1QBUU
181,pS-n3gen3LHD_z8uQw_ZJBQJSq_t7PQk_lybuaUpzoiWWKZx
182,56E6uFYMDhevJ6sbdWWUFI4mazLNlD-SpRDfFFUnOiwVNi0X
183,aA9MRlQb4K3yIISx6U9IhLvY6IbUr1zwvHPV8moeOBvqd-LU
184,UVN7RGIgMxBbb1AeCTwXLHMZhj5dlSAPMVCU_LKPhRmju2YG
185,JmU_leuVUrF228NBGBlyKaUX_VB_cXUe_8w6HqcTusQNVnoc
186,RZDPK6FIjxHR_CYhfOfENSzdC4z0iiJEMxFLy_GxOerHyTkR
187,BPq8L8wKwSR7vmRJCMLdR8XjLYM-iIosf7KncfLgk5MHUolE
188,BDDQ_oisKWu7XrXCM1g1CRIoOVPCGGef7JLRjcCAcEDPugpq
189,OA8djPSuBcGpzfYrPev_fKXRorq7t-tJ5dGcwNQOqPSmj94a
190,f5-9x4W3CpyJdaGRJLNyBaGT_lyeP_qrt_RxP0kT1t9G0D8y
