matchId,t1Dragons,t2Dragons,t1Rift,t2Rift,topGoldDiff,jgGoldDiff,midGoldDiff,adcGoldDiff,suppGoldDiff,timePlay,winloss,top1,jug1,mid1,adc1,sp1,top2,jug2,mid2,adc2,sp2
NA1_4260585201,2,0,0,0,-274,1561,-42,1815,1058,1309,100,Chogath,Ekko,Galio,Caitlyn,Yuumi,Riven,Nocturne,Yone,Zeri,Morgana
NA1_4247286700,1,0,0,1,-2799,1299,-719,93,1524,1923,200,Garen,Nocturne,Leblanc,Veigar,Heimerdinger,Sett,Hecarim,Fizz,Aphelios,Leona
NA1_4247734315,2,0,0,1,-926,731,-1781,226,-709,1728,100,Sion,Shyvana,Lux,Aphelios,Thresh,Aatrox,MasterYi,Gangplank,Jinx,Soraka
NA1_4238377666,1,0,0,1,3449,1282,1639,267,-293,1516,100,Riven,Vi,Zed,Ashe,Sona,Nasus,Nocturne,Brand,Kaisa,Senna
NA1_4249052918,0,1,0,1,1461,-191,-2013,-1769,-1472,2313,100,Urgot,Rammus,Nunu,Ashe,Sona,Volibear,Elise,Zed,Yasuo,Morgana
NA1_4238507125,0,1,0,0,-897,-239,-394,2969,-63,2228,200,Aatrox,Mordekaiser,Sylas,Zeri,Senna,Vladimir,Evelynn,Jayce,Jhin,Seraphine
NA1_4256001120,1,1,0,1,-1615,-844,925,-944,271,1936,100,Illaoi,Rengar,Lux,KogMaw,Sona,Trundle,MasterYi,Katarina,Jinx,Renata
NA1_4235711947,0,2,1,0,1986,2954,650,-68,749,1896,100,Yone,Graves,Lux,Yasuo,Morgana,Tryndamere,Volibear,MasterYi,Jhin,Zilean
NA1_4254919161,1,0,0,1,-1745,-1413,-1928,-1246,1099,1560,200,Tryndamere,LeeSin,Irelia,Tristana,Brand,Sett,Shaco,Teemo,Jinx,Janna
NA1_4236636809,1,0,0,0,-493,1289,908,1188,510,1800,100,Illaoi,Zed,Yone,Ezreal,Alistar,Nasus,Graves,Irelia,MissFortune,Renata
NA1_4259367866,0,1,1,0,803,742,666,-1233,-645,2040,100,Garen,Zac,Ahri,Zeri,Nautilus,Renekton,Amumu,Lux,Lucian,Sona
NA1_4235738596,0,1,0,1,-1175,-1246,-2364,-1993,-1043,1270,200,Nasus,Khazix,Corki,Samira,Nautilus,Sion,Ekko,Ezreal,Zeri,Renata
NA1_4238485799,1,0,0,0,1895,-480,1125,-158,824,1986,100,Jax,Lillia,Sylas,Twitch,Senna,Tryndamere,FiddleSticks,Ahri,Samira,Pyke
NA1_4243983016,0,2,0,1,-1797,-1832,-1979,-319,-561,1524,200,Chogath,Talon,Zed,Zeri,Lulu,Volibear,Graves,Ahri,MissFortune,Seraphine
NA1_4260101375,0,2,0,1,-2890,-436,2866,-2962,-1595,1211,200,Nunu,Hecarim,Irelia,Xayah,Pyke,DrMundo,Viego,Akshan,Sivir,Seraphine
