matchId,t1Dragons,t2Dragons,t1Rift,t2Rift,topGoldDiff,jgGoldDiff,midGoldDiff,adcGoldDiff,suppGoldDiff,t1TopTowerTaken,t1MidTowerTaken,t1BotTowerTaken,t2TopTowerTaken,t2MidTowerTaken,t2BotTowerTaken,gameLength,winningTeam,team1Top,team1Jg,team1Mid,team1Adc,team1Supp,team2Top,team2Jg,team2Mid,team2Adc,team2Supp
NA1_4246648067,0,2,1,0,2256,-485,-210,-1989,-597,0,0,0,0,1,0,2041,200,Olaf,Kindred,Ahri,Ashe,Galio,Irelia,Shaco,TwistedFate,Vayne,Neeko
NA1_4249844262,1,1,1,0,-156,678,1357,1095,2116,0,0,0,0,2,1,1286,100,Yone,Shyvana,Yasuo,Lucian,Nami,Garen,Hecarim,Pyke,Ezreal,Thresh
NA1_4244225127,1,0,1,0,1505,190,-307,-323,-340,0,0,0,1,0,0,1887,200,Mordekaiser,Hecarim,Cassiopeia,Lucian,Yuumi,Shyvana,Poppy,Pyke,Samira,Nautilus
NA1_4245015342,2,0,0,1,-1954,265,406,1437,529,0,0,0,0,0,0,1574,100,Gragas,Vi,TwistedFate,Kaisa,Lux,Darius,Trundle,Katarina,Ezreal,Morgana
NA1_4247447371,1,0,1,0,760,1343,1171,295,1366,0,0,0,1,0,0,1528,100,Renekton,Evelynn,Irelia,Kaisa,Zyra,Akali,XinZhao,Fizz,Jhin,Rell
NA1_4238764835,2,0,0,0,-79,-211,648,-1031,-381,0,0,0,0,0,0,1765,100,Graves,Khazix,Morgana,Kaisa,Renata,Renekton,LeeSin,Ryze,Ezreal,Karma
NA1_4255986407,0,2,0,1,65,2053,1227,-86,221,0,0,0,0,0,0,2280,200,Darius,Zed,TwistedFate,Xayah,Senna,Urgot,LeeSin,Yone,Lucian,Brand
NA1_4244636206,0,0,1,0,3660,-1388,252,-155,62,0,0,0,1,0,0,2416,200,Irelia,Amumu,Katarina,Jinx,Zilean,Yorick,Karthus,Yone,Samira,Renata
NA1_4258441163,1,0,1,0,1847,786,1880,-347,442,0,0,0,1,0,0,1703,100,Yorick,Warwick,Cassiopeia,Zeri,Sylas,Graves,Shaco,Yone,Kaisa,Soraka
NA1_4241826173,1,1,0,1,-2533,398,1859,-219,978,0,0,0,0,0,0,1742,100,MasterYi,Volibear,Diana,MissFortune,Swain,Olaf,Graves,Zoe,Tristana,Nautilus
