t1Dragons,t2Dragons,t1Rift,t2Rift,topGoldDiff,jgGoldDiff,midGoldDiff,adcGoldDiff,suppGoldDiff
1,1,0,1,-2855,796,-300,803,744
0,2,1,0,-2711,-811,-1027,-767,-1738
0,1,1,0,1128,-1528,916,-77,1001
0,1,0,1,-450,295,-3455,-537,79
1,0,0,1,322,-509,-1143,-1178,-1647
1,1,1,0,4037,926,-665,-310,190
1,1,0,0,785,2041,1193,1015,1246
1,0,0,1,-1102,1887,1075,471,-249
1,1,1,0,-613,1141,-955,1428,470
0,1,0,1,-50,-765,-958,-436,-1043
2,0,0,1,-649,-1073,1446,586,963
1,1,0,0,353,440,1015,-948,-1936
2,0,0,1,2341,-71,-442,2787,539
1,0,1,0,306,-2043,-37,68,-132
2,0,1,0,1834,-512,171,-775,-422
2,0,0,0,824,-1141,3099,1601,-1787
1,1,1,0,136,-786,-694,-2447,-946
0,1,0,0,-1514,-1227,-35,-811,-147
1,0,0,1,-237,1225,101,-393,583
0,1,0,1,-2632,-569,699,-1488,-2757
0,1,1,0,-768,1521,942,1319,-861
1,0,1,0,-782,1619,301,-778,-21
0,1,0,0,-805,-26,-1655,-885,622
0,1,1,0,300,236,-341,-1560,348
1,0,1,0,1366,1040,1090,1744,-74
0,0,0,0,1472,73,-878,751,-348
0,1,0,1,-177,-1991,-1315,-1370,-3390
1,0,0,1,-1211,-1775,2512,279,450
1,0,1,0,2579,-1401,3119,662,654
1,0,0,1,-2198,-710,-649,2216,747
0,2,0,0,3739,1313,-1215,1115,405
1,1,0,1,-1474,34,-516,757,-1009
1,0,0,0,677,148,-1844,466,226
1,0,0,1,2495,17,69,2695,629
1,1,0,1,-104,1078,634,-484,-892
1,0,1,0,2656,705,3028,692,2194
0,2,1,0,-536,-1217,1159,-140,-231
0,0,0,1,-529,1293,-21,-11,153
1,0,0,1,-1674,-51,909,-1232,259
1,1,0,1,855,-4192,-201,-793,631
1,1,0,1,-755,-2876,-2024,426,1829
1,0,0,0,1061,-1630,277,35,51
1,1,0,1,1556,541,-885,-1132,-2046
1,1,1,0,436,-402,2193,1739,1182
2,0,0,0,3113,-473,894,-1603,-152
2,0,0,1,-47,604,626,924,333
0,2,0,1,-1613,-2589,-456,-1488,-1415
0,1,1,0,1505,999,777,1219,208
1,0,1,0,-882,1465,2042,3155,2184
2,0,1,0,-2085,591,1392,-199,613
0,2,1,0,36,-1150,-3037,-166,844
2,0,0,0,991,413,1692,100,1727
1,1,0,0,-3505,-785,-940,-1162,187
1,0,1,0,531,931,-545,-1032,-367
1,1,0,1,-2516,-1353,-2373,1168,464
1,1,1,0,-204,-221,639,2395,264
1,1,0,0,-543,-247,-1043,-510,-877
0,0,0,0,0,0,0,0,0
1,0,1,0,593,399,-1049,2944,-647
1,1,0,1,1608,-1084,-1824,1753,-1323
2,0,0,1,867,-1985,1535,-565,620
1,0,1,0,872,952,2070,-137,-772
1,0,0,0,1340,-179,-1864,1705,850
1,0,0,1,-2619,198,1221,62,417
0,2,0,1,-1436,1057,-21,-2199,-1027
2,0,1,0,-353,538,2173,-661,-830
0,1,1,0,3541,348,326,1533,740
2,0,1,0,2619,2752,2818,-1419,-141
1,0,0,1,-1842,-1071,845,1814,1352
0,1,0,1,1265,216,827,1047,553
0,1,0,1,-1732,-540,-578,-2108,-2590
0,0,0,0,0,0,0,0,0
1,1,0,0,-1715,677,123,-172,3408
1,0,0,1,-3050,1399,448,-300,-109
0,1,0,1,-136,-2024,-1796,-479,515
0,1,0,1,1347,1016,1466,-707,56
1,0,1,0,577,1039,252,526,734
1,0,0,0,-2027,-816,898,-590,-176
1,0,0,1,-194,-816,-690,1157,1127
0,0,0,0,-1844,499,1091,-7,1895
0,2,0,1,2583,-600,-592,724,119
1,0,0,1,-1572,2415,-779,-883,-801
0,1,1,0,5,-1239,-1789,-1295,-789
1,0,0,1,-1957,-1974,-1633,648,-1710
0,2,0,1,-1577,-2050,1276,-134,802
1,1,0,1,376,-2354,-705,-1407,-1586
0,1,1,0,1039,1682,405,-713,-238
2,0,1,0,-1578,-376,1197,2378,1366
0,2,0,0,130,1808,365,-640,658
0,1,0,0,1611,282,208,-1258,706
0,1,1,0,251,-97,-1503,-1888,-1224
0,0,0,0,0,0,0,0,0
1,1,0,0,453,-1266,-62,887,868
1,0,1,0,-101,1609,1097,3218,1337
0,1,0,1,0,0,0,0,0
0,1,1,0,129,754,295,-575,-298
1,0,0,1,653,2137,987,351,-876
2,0,0,0,-94,678,1757,1079,-147
1,0,1,0,-1031,2935,-531,-314,-568
1,1,0,0,-698,-2783,-287,-2536,-928
1,0,0,0,509,-892,1031,-428,-491
0,1,0,1,-1309,-555,1331,279,-397
0,1,1,0,-329,-1217,-1707,-412,391
1,1,0,1,-2796,-1022,-719,-177,-504
1,0,0,1,-640,183,-941,-851,-1071
1,0,0,1,1602,-526,262,600,-439
0,1,1,0,468,-1324,-768,-1454,-1644
0,2,0,1,-1284,981,1010,-1543,-114
0,1,0,1,-793,-2192,-528,15,820
1,1,1,0,-753,455,2311,-702,-1466
0,1,0,1,-2636,-2168,-1222,-126,-1798
0,2,1,0,2800,-1272,2384,-1911,-144
2,0,1,0,1009,1537,-1511,1559,659
1,1,1,0,-2855,-637,353,1567,317
1,1,0,1,-366,1934,-1239,897,218
0,1,0,0,450,598,-1231,-709,174
2,0,0,0,-274,1561,-42,1815,1058
1,0,0,1,-2799,1299,-719,93,1524
2,0,0,1,-926,731,-1781,226,-709
1,0,0,1,3449,1282,1639,267,-293
0,1,0,1,1461,-191,-2013,-1769,-1472
0,1,0,0,-897,-239,-394,2969,-63
1,1,0,1,-1615,-844,925,-944,271
0,2,1,0,1986,2954,650,-68,749
1,0,0,1,-1745,-1413,-1928,-1246,1099
1,0,0,0,-493,1289,908,1188,510
0,1,1,0,803,742,666,-1233,-645
0,1,0,1,-1175,-1246,-2364,-1993,-1043
1,0,0,0,1895,-480,1125,-158,824
0,2,0,1,-1797,-1832,-1979,-319,-561
0,2,0,1,-2890,-436,2866,-2962,-1595
0,1,0,1,2005,64,297,-1056,-1631
1,1,1,0,377,1283,1049,1099,910
1,1,0,0,4344,843,1081,-104,-795
1,0,0,0,-2104,658,722,1072,330
1,0,0,1,-2850,0,-870,-316,-1027
2,0,1,0,1132,412,-217,-775,1000
0,2,1,0,-1879,26,-411,-281,-898
0,1,0,0,355,1436,281,-890,-667
0,2,0,0,0,0,0,0,0
0,2,1,0,682,-1102,110,-3376,-935
1,0,1,0,65,3108,1166,1077,967
2,0,0,0,3289,-1273,-466,2012,272
1,0,1,0,2117,1787,865,1131,-722
2,0,1,0,1143,723,-945,1114,2239
0,1,1,0,-1556,729,1852,-3218,-1189
2,0,1,0,302,977,-1053,784,2080
2,0,0,0,-1905,-597,-2424,3393,221
0,2,1,0,-1412,-2,-1459,-2792,-2372
2,0,1,0,-291,-778,1401,1178,1046
0,2,1,0,-162,-787,-863,-1669,-1268
0,2,0,1,-1362,-2924,-890,862,133
1,0,0,0,-750,-1170,1323,70,836
1,1,1,0,161,364,-882,1265,1275
0,2,0,1,-3087,-2074,-356,-2879,-3844
0,0,0,0,0,0,0,0,0
1,0,0,1,-1603,-1359,510,-752,-1697
1,0,1,0,-1046,3211,-1920,2250,137
1,0,0,0,1209,699,-1593,-201,112
1,0,1,0,-1135,1124,1069,468,703
0,2,0,1,1169,-1773,-1177,-1504,-3371
1,1,0,1,643,1872,-2062,-1822,-1525
0,2,0,0,-1120,-696,-1796,-27,-219
2,0,0,1,441,-1035,-10,240,-1
0,0,0,0,338,707,-1203,1909,1312
1,0,1,0,3768,-731,647,1500,918
0,1,1,0,-1854,2223,-1526,-501,-362
1,1,0,1,-1644,-453,1418,80,-208
2,0,1,0,2343,1639,-211,831,-135
1,0,0,0,-731,-85,-866,2822,1101
2,0,1,0,-1645,-436,-348,885,471
1,1,0,0,3485,1255,-323,-1320,-753
0,1,0,0,-1161,-1292,2692,-2708,-701
1,0,0,1,-1962,1440,-1153,3513,2805
0,1,0,1,744,68,-357,-1988,241
1,1,0,0,1428,511,-960,-2007,-458
0,1,1,0,-476,969,-1014,441,621
1,0,1,0,965,2592,451,4159,3149
1,0,1,0,821,653,-358,15,1596
0,2,0,0,1236,-1553,-1328,-134,428
0,2,1,0,3972,-455,330,-638,-1707
1,0,0,1,1377,-1465,-2293,-1601,1240
0,1,0,1,2039,-794,-1108,-787,-542
1,1,0,0,-1828,371,668,1014,-372
0,2,1,0,-575,-489,1340,-1286,-644
0,1,0,1,-1533,154,357,1084,-392
0,1,0,0,-977,2296,-2579,1252,-301
0,1,0,0,-2426,-290,-584,-1522,612
1,0,0,1,-1053,-1673,1702,-96,-497
0,2,1,0,375,1076,-355,-418,-184
2,0,1,0,609,837,1831,2017,339
1,0,1,0,1012,1360,571,333,582
0,2,1,0,842,-171,906,247,-908
2,0,0,1,-2080,-1164,235,1879,782
0,1,0,1,-2019,2524,1124,1149,708
0,2,0,1,-1238,1062,-583,-554,18
2,0,1,0,-1500,-139,1759,-467,-136
